file name			nbVar	nbClas	AvgDOV	LS	AvgDOL
brock200_1.clq.cnf		40	1132	28	17	67
brock400_1.clq.cnf		40	1192	30	18	66
brock800_1.clq.cnf		40	1022	26	14	73
c-fat200-2.clq.cnf		40	228	6	6	38
c-fat500-2.clq.cnf		42	136	3	5	27
hamming10-2.clq.cnf		41	1640	40	41	40
hamming6-4.clq.cnf		64	1408	22	10	141
hamming8-4.clq.cnf		43	994	23	11	90
johnson16-2-4.clq.cnf		40	1150	29	8	144
johnson32-2-4.clq.cnf		42	1528	36	16	96
johnson8-2-4.clq.cnf		28	420	15	6	70
keller4.clq.cnf	 		43	1212	28	12	101
keller5.clq.cnf			41	1230	30	14	88
MANN_a81.clq.cnf		41	1638	40	40	41
MANN_a9.clq.cnf			45	1836	41	21	87
maxcut-140-630-0.7-16.cnf	140	1260	9	6	210
maxcut-140-630-0.7-3.cnf	140	1260	9	8	158
maxcut-140-630-0.7-38.cnf	140	1260	9	7	180
maxcut-140-630-0.8-20.cnf	140	1258	9	7	180
maxcut-140-630-0.8-30.cnf	140	1258	9	7	180
maxcut-140-630-0.8-4.cnf	140	1258	9	6	210
p_hat1000-1.clq.cnf		40	352	9	7	50
p_hat300-1.clq.cnf		43	348	8	7	50
p_hat500-1.clq.cnf		42	474	11	8	59
p_hat700-1.clq.cnf		42	418	10	8	52
s2v140c1200-3.cnf		140	1200	9	7	171
s2v140c1900-3.cnf		140	1900	14	9	211
s2v160c1200-2.cnf		160	1200	8	7	171
s2v160c1500-3.cnf		160	1500	9	7	214
s2v180c1200-3.cnf		180	1200	7	6	200
s2v180c1700-2.cnf		180	1700	9	8	213
s2v200c1200-3.cnf		200	1200	6	6	200
s2v200c1400-1.cnf		200	1400	7	6	233
s2v220c1200-3.cnf		220	1200	5	6	200
s2v220c1600-2.cnf		220	1600	7	6	267
san1000.clq.cnf			40	744	19	9	83
san200_0.7_1.clq.cnf		40	1116	28	19	59
san400_0.7_1.clq.cnf		40	1120	28	17	66
t3pm3-5555.spn.cnf		27	162	6	5	32
t5pm3-7777.spn.cnf		125	750	6	5	149
