file name			nbVar	nbClas	AvgDOV	LS	AvgDOL
HG-3SAT-V250-C1000-1.cnf	250	1000	12	12	249
HG-3SAT-V250-C1000-7.cnf	250	1000	12	11	272
HG-3SAT-V300-C1200-1.cnf	300	1200	12	12	299
HG-3SAT-V300-C1200-10.cnf	300	1200	12	11	327
HG-4SAT-V100-C900-14.cnf	100	900	54	31	173
HG-4SAT-V100-C900-23.cnf	100	900	54	33	163
HG-4SAT-V150-C1350-5.cnf	150	1350	54	32	252
HG-4SAT-V150-C1350-8.cnf	150	1350	54	31	260
s3v110c1000-9.cnf		110	1000	27	19	158
s3v110c1100-8.cnf		110	1100	30	20	165
s3v110c700-4.cnf		110	700	19	16	131
s3v110c800-8.cnf		110	800	22	15	160
s3v110c900-9.cnf		110	900	25	17	159
s3v70c1000-3.cnf		70	1000	43	25	120
s3v70c1100-1.cnf		70	1100	47	25	132
s3v70c1200-3.cnf		70	1200	51	25	144
s3v70c1300-3.cnf		70	1300	56	26	150
s3v70c1400-1.cnf		70	1400	60	28	150
s3v70c1500-2.cnf		70	1500	64	31	145
s3v70c700-5.cnf			70	700	30	20	105
s3v70c800-1.cnf			70	800	34	20	120
s3v70c900-4.cnf			70	900	39	21	129
s3v90c1000-3.cnf		90	1000	33	21	143
s3v90c1100-2.cnf		90	1100	37	24	138
s3v90c1200-3.cnf		90	1200	40	26	138
s3v90c1300-1.cnf		90	1300	43	27	144
s3v90c700-3.cnf			90	700	23	17	124
s3v90c800-1.cnf			90	800	27	19	126
s3v90c900-4.cnf			90	900	30	19	142
